,user_id,user_cl
0,SqPqSd7ql_UD5cYxRg_prA,8
1,zriuvFjGFSjvER9OgFJCew,6
2,havBggvuzfE6IPfkT-njbg,1
3,Y5b286tescycns--SAZ-yg,6
4,zxn9ZlFJKTTddjF6Du7rRA,0
5,IjD-aHzIdFXWUGCaKCMZKw,5
6,KbU6Q0oy5X2mTShnRXiggg,3
7,aWejHqThyw_ODaEMB4TdWA,5
8,_gfCS6dV7I6x29b7K73ZKg,5
9,DP4BchE8S9BMxsh3lcBTrQ,8
10,PUTDPPO7hEICLQDEGSRBhw,6
11,M55v_rCB4Ii7ntwaq-lLRA,6
12,KYoKrveCUg4CC9YcSvkApQ,1
13,ZpQprwVlYpRQDkq3khmvUg,0
14,MRV6ZkVAGJvhwF7c9vTTKg,0
15,D5uMny1pAVWhNGDvFDPp8g,0
16,BFBn44X2gnL1f8qSRT0H-Q,5
17,Ry_LUa1dtfuuEW_zQ1jm2Q,1
18,MeDuKsZcnI3IU2g7OlV-hQ,1
19,rMtatrglYX8sE2nGBFvCKg,4
20,lprDtZFUDrGCIvLqfK8wAg,6
21,o8Lpbd9-X4Ep3z-gcVdNSw,9
22,RNbgsPuTi6UKh2D-W9xIig,5
23,VpbfazUJdbTf7BtvTiq0nQ,6
24,fJPA8p5TXvbaVNYSbOgtng,1
25,aU1N3Lr4ojXrKBIG1Kpp8g,6
26,r1iDMzd3dG5q-R-jQRJZCw,5
27,rqlngRO2Hj0sX9WpEQ_vbg,1
28,_efP61KpqeC9K4TX0aqwyw,9
29,8tAIFe8WKqJVGNVKjtzcRg,1
30,ZpQprwVlYpRQDkq3khmvUg,6
31,ylWesf53Vr8r3QcIgmPl3g,6
32,DVHeHJWyDetbsfVKre886A,1
33,ZpQprwVlYpRQDkq3khmvUg,5
34,PUTDPPO7hEICLQDEGSRBhw,8
35,_gfCS6dV7I6x29b7K73ZKg,6
36,-Yb1srF4RYtpn-6Yp8ojRg,9
37,91ECzjsMpfl7-40m7AcDFw,1
38,3HgHp-SWWhauBxhK7K_skw,6
39,aU1N3Lr4ojXrKBIG1Kpp8g,9
40,xyraFkKOEZHVD-dGW0vTkg,1
41,D5uMny1pAVWhNGDvFDPp8g,3
42,3DLg6FHxYaueFO-47can0w,6
43,91ECzjsMpfl7-40m7AcDFw,6
